GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.pos.dao,AbstractDao,3,68,0,0,1,12,1,6,1,6
pos-app,com.increff.pos.dao,ProductDao,0,47,0,0,0,10,0,4,0,4
pos-app,com.increff.pos.dao,SchedulerDao,0,21,0,0,0,5,0,3,0,3
pos-app,com.increff.pos.dao,BrandDao,0,44,0,0,0,10,0,4,0,4
pos-app,com.increff.pos.dao,InventoryDao,0,4,0,0,0,2,0,2,0,2
pos-app,com.increff.pos.dao,UserDao,1,21,0,0,1,5,1,3,1,3
pos-app,com.increff.pos.dao,OrderItemDao,1,20,0,0,1,5,1,3,1,3
pos-app,com.increff.pos.dao,OrderDao,0,24,0,0,0,6,0,3,0,3
pos-app,com.increff.pos.dto,UserDto,0,31,0,2,0,6,0,3,0,2
pos-app,com.increff.pos.dto,BrandDto,5,71,0,2,2,17,0,8,0,7
pos-app,com.increff.pos.dto,ProductDto,5,158,0,2,2,33,0,7,0,6
pos-app,com.increff.pos.dto,SchedulerDto,0,160,0,6,0,30,0,7,0,4
pos-app,com.increff.pos.dto,ReportsDto,21,274,7,13,0,54,5,9,0,4
pos-app,com.increff.pos.dto,OrderDto,7,91,0,2,2,23,1,5,1,4
pos-app,com.increff.pos.dto,AboutAppDto,0,24,0,0,0,6,0,2,0,2
pos-app,com.increff.pos.dto,OrderItemDto,11,277,0,12,3,59,1,11,1,5
pos-app,com.increff.pos.dto,InventoryDto,0,113,0,2,0,27,0,6,0,5
pos-app,com.increff.pos.service,OrderItemService,21,62,0,4,6,13,1,8,1,6
pos-app,com.increff.pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos-app,com.increff.pos.service,SchedulerService,0,23,0,0,0,6,0,4,0,4
pos-app,com.increff.pos.service,BrandService,43,164,5,15,3,38,5,13,0,8
pos-app,com.increff.pos.service,ProductService,32,185,8,18,1,36,7,15,0,9
pos-app,com.increff.pos.service,InventoryService,25,179,2,14,3,39,2,13,0,7
pos-app,com.increff.pos.service,UserService,9,54,1,1,2,13,1,5,0,5
pos-app,com.increff.pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos-app,com.increff.pos.service,OrderService,68,52,2,2,14,11,2,7,1,6
pos-app,com.increff.pos.model,OrderItemData,0,31,0,0,0,6,0,9,0,9
pos-app,com.increff.pos.model,SchedulerData,0,31,0,0,0,6,0,9,0,9
pos-app,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
pos-app,com.increff.pos.model,SalesReportForm,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,InventoryData,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,InventoryReportForm,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,InfoData,17,7,0,0,3,3,5,2,5,2
pos-app,com.increff.pos.model,SalesReportData,0,31,0,0,0,6,0,9,0,9
pos-app,com.increff.pos.model,InventoryForm,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,ProductForm,0,38,0,0,0,7,0,11,0,11
pos-app,com.increff.pos.model,ProductData,0,45,0,0,0,8,0,13,0,13
pos-app,com.increff.pos.model,AboutAppData,0,17,0,0,0,7,0,5,0,5
pos-app,com.increff.pos.model,OrderData,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,BrandForm,0,17,0,0,0,4,0,5,0,5
pos-app,com.increff.pos.model,UserForm,4,20,0,0,0,5,1,6,1,6
