GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-spring,com.increff.pos.dao,AbstractDao,3,21,0,0,1,5,1,4,1,4
employee-spring,com.increff.pos.dao,ProductDao,0,63,0,0,0,13,0,5,0,5
employee-spring,com.increff.pos.dao,SchedulerDao,23,8,0,0,5,3,2,2,2,2
employee-spring,com.increff.pos.dao,BrandDao,26,48,0,0,6,11,2,5,2,5
employee-spring,com.increff.pos.dao,InventoryDao,0,33,0,0,0,9,0,5,0,5
employee-spring,com.increff.pos.dao,UserDao,40,10,0,0,9,4,4,2,4,2
employee-spring,com.increff.pos.dao,OrderItemDao,31,18,0,0,7,6,3,3,3,3
employee-spring,com.increff.pos.dao,OrderDao,34,18,0,0,7,6,2,3,2,3
employee-spring,com.increff.pos.dto,UserDto,23,8,2,0,4,2,2,1,1,1
employee-spring,com.increff.pos.dto,BrandDto,6,89,1,5,1,18,1,7,0,5
employee-spring,com.increff.pos.dto,ProductDto,37,245,9,17,3,44,8,10,0,5
employee-spring,com.increff.pos.dto,AdminDto,71,8,2,0,19,2,5,1,4,1
employee-spring,com.increff.pos.dto,SchedulerDto,123,8,4,0,28,2,6,1,4,1
employee-spring,com.increff.pos.dto,ReportsDto,34,8,0,0,4,2,2,1,2,1
employee-spring,com.increff.pos.dto,OrderDto,40,37,0,2,10,9,3,3,3,2
employee-spring,com.increff.pos.dto,AboutAppDto,16,8,0,0,4,2,1,1,1,1
employee-spring,com.increff.pos.dto,OrderItemDto,249,50,12,2,46,11,10,3,4,2
employee-spring,com.increff.pos.dto,InventoryDto,15,153,3,9,2,34,3,8,0,5
employee-spring,com.increff.pos.service,OrderItemService,68,12,4,0,16,3,7,2,5,2
employee-spring,com.increff.pos.service,ReportsService,424,28,28,0,78,6,20,1,6,1
employee-spring,com.increff.pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
employee-spring,com.increff.pos.service,SchedulerService,35,8,0,0,10,2,5,1,5,1
employee-spring,com.increff.pos.service,BrandService,47,62,5,1,10,17,6,7,3,7
employee-spring,com.increff.pos.service,ProductService,28,66,3,1,6,18,3,8,1,8
employee-spring,com.increff.pos.service,InventoryService,96,49,6,0,18,12,5,5,2,5
employee-spring,com.increff.pos.service,UserService,54,8,2,0,13,2,5,1,4,1
employee-spring,com.increff.pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
employee-spring,com.increff.pos.service,OrderService,93,12,4,0,20,3,6,2,4,2
employee-spring,com.increff.pos.model,OrderItemData,10,21,0,0,2,4,3,6,3,6
employee-spring,com.increff.pos.model,SchedulerData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.pos.model,SalesReportForm,17,0,0,0,4,0,5,0,5,0
employee-spring,com.increff.pos.model,InventoryData,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.model,SchedulerForm,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.model,InfoData,23,0,0,0,10,0,5,0,5,0
employee-spring,com.increff.pos.model,SalesReportData,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.model,InventoryForm,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.model,ProductForm,0,38,0,0,0,7,0,11,0,11
employee-spring,com.increff.pos.model,ProductData,0,45,0,0,0,8,0,13,0,13
employee-spring,com.increff.pos.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.pos.model,OrderData,3,14,0,0,1,3,1,4,1,4
employee-spring,com.increff.pos.model,BrandForm,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.model,UserForm,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.model,OrderItemForm,7,17,0,0,1,4,2,5,2,5
employee-spring,com.increff.pos.model,LoginForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.pos.model,InventoryReportData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.model,BrandData,0,10,0,0,0,3,0,3,0,3
employee-spring,com.increff.pos.model,UserData,24,0,0,0,5,0,7,0,7,0
employee-spring,com.increff.pos.controller,SchedulerApiController,9,8,0,0,2,2,2,1,2,1
employee-spring,com.increff.pos.controller,SiteUiController,24,3,0,0,6,1,6,1,6,1
employee-spring,com.increff.pos.controller,ReportApiController,9,8,0,0,2,2,2,1,2,1
employee-spring,com.increff.pos.controller,SampleController,86,3,0,0,22,1,2,1,2,1
employee-spring,com.increff.pos.controller,AppUiController,32,3,0,0,8,1,8,1,8,1
employee-spring,com.increff.pos.controller,UserApiController,5,8,0,0,1,2,1,1,1,1
employee-spring,com.increff.pos.controller,InitApiController,57,3,2,0,15,1,4,1,3,1
employee-spring,com.increff.pos.controller,AbstractUiController,30,3,2,0,6,1,2,1,1,1
employee-spring,com.increff.pos.controller,InventoryApiController,20,8,0,0,6,2,4,1,4,1
employee-spring,com.increff.pos.controller,OrderApiController,20,8,0,0,5,2,4,1,4,1
employee-spring,com.increff.pos.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
employee-spring,com.increff.pos.controller,AdminApiController,9,3,0,0,3,1,2,1,2,1
employee-spring,com.increff.pos.controller,ProductApiController,20,8,0,0,6,2,4,1,4,1
employee-spring,com.increff.pos.controller,OrderItemApiController,20,8,0,0,6,2,4,1,4,1
employee-spring,com.increff.pos.controller,BrandApiController,20,8,0,0,6,2,4,1,4,1
employee-spring,com.increff.pos.controller,AboutApiController,4,3,0,0,1,1,1,1,1,1
employee-spring,com.increff.pos.controller,LoginController,86,3,6,0,19,1,6,1,3,1
employee-spring,com.increff.pos.util,StringUtil,15,17,5,1,2,4,5,2,2,2
employee-spring,com.increff.pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.pos.util,generatePdf,83,0,0,0,21,0,2,0,2,0
employee-spring,com.increff.pos.util,ConvertUtil,3,15,0,0,1,4,1,1,1,1
employee-spring,com.increff.pos.util,generateInvoiceXML,333,0,2,0,66,0,3,0,2,0
employee-spring,com.increff.pos.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
employee-spring,com.increff.pos.util,BarcodeUtil,8,0,0,0,2,0,2,0,2,0
employee-spring,com.increff.pos.util,generateXml,120,0,2,0,29,0,3,0,2,0
employee-spring,com.increff.pos.util,generateInvoicePdf,90,0,0,0,21,0,2,0,2,0
employee-spring,com.increff.pos.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
employee-spring,com.increff.pos.util,TimestampUtil,23,0,0,0,6,0,2,0,2,0
employee-spring,com.increff.pos.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.pos.pojo,ProductPojo,4,34,0,0,0,7,1,10,1,10
employee-spring,com.increff.pos.pojo,SchedulerPojo,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.pos.pojo,InventoryPojo,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.pos.pojo,OrderItemPojo,4,34,0,0,0,7,1,10,1,10
employee-spring,com.increff.pos.pojo,BrandPojo,4,20,0,0,0,5,1,6,1,6
employee-spring,com.increff.pos.pojo,UserPojo,28,3,0,0,5,1,8,1,8,1
employee-spring,com.increff.pos.pojo,OrderPojo,8,9,0,0,1,3,2,3,2,3
employee-spring,com.increff.pos.spring,SecurityConfig,0,237,0,0,0,26,0,4,0,4
employee-spring,com.increff.pos.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
employee-spring,com.increff.pos.spring,ControllerConfig,4,141,0,0,2,29,1,8,1,8
employee-spring,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
